Airport,Code,Lat,Lon
Bloemfontein,BFN,-29.0927,26.3024
Cape Town,CPT,-33.9700,18.6021
Durban,DUR,-29.6144,31.1197
East London,ELS,-33.0356,27.8259
George,GRJ,-34.0056,22.3789
Hoedspruit,HDS,-24.3686,31.0487
Johannesburg,JNB,-26.1392,28.2460
Kimberley,KIM,-28.8028,24.7652
Lanseria,HLA,-25.9385,27.9261
Margate,MGH,-30.8574,30.3430
Mthatha,UTT,-31.5464,28.6734
Nelspruit,MQP,-25.3832,31.1056
Pietermaritzburg,PZB,-29.6490,30.3987
Polokwane,PTG,-23.8453,29.4586
Port Elizabeth,PLZ,-33.9849,25.6173
Richards Bay,RCB,-28.7410,32.0921
Sishen,SIS,-27.6486,22.9993
Skukuza,SZK,-24.9609,31.5887
Upington,UTN,-28.3991,21.2602
